Labeler Code,Firm Name
00002,Eli Lilly and Company
00003,"E.R. Squibb & Sons, L.L.C."
00004,"Genentech, Inc."
00005,Wyeth Pharmaceutical Division of Wyeth Holdings LLC
00006,Merck Sharp & Dohme Corp.
00007,GlaxoSmithKline LLC
00008,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc."
00009,Pharmacia and Upjohn Company LLC
00010,Boehringer Ingelheim Animal Health USA Inc.
00013,Pfizer Laboratories Div Pfizer Inc
00015,Mead Johnson & Company
00019,Liebel-Flarsheim Company LLC
00023,"Allergan, Inc."
00024,Sanofi-Aventis U.S. LLC
00025,Pfizer Laboratories Div Pfizer Inc
00026,Bayer HealthCare LLC
00028,Novartis Pharmaceuticals Corporation
00029,GlaxoSmithKline LLC
00031,GlaxoSmithKline Consumer Healthcare Holdings (US) LLC
00032,AbbVie Inc.
00037,Meda Pharmaceuticals Inc.
00039,Sanofi-Aventis U.S. LLC
00041,Oral-B Laboratories
00043,GlaxoSmithKline Consumer Healthcare Holdings (US) LLC
00044,Abbott Laboratories
00045,Ortho McNeil Pharmaceuticals
00046,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc."
00048,Abbott Laboratories
00049,Roerig
00051,AbbVie Inc.
00052,Merck Sharp & Dohme Corp
00053,CSL Behring L.L.C.
00054,Hikma Pharmaceuticals USA Inc.
00056,Bristol-Myers Squibb Pharma Company
00061,Schering Corporation
00062,Ortho-McNeil Pharmaceuticals
00064,"Healthpoint, Ltd"
00065,"Alcon Laboratories, Inc."
00066,Sanofi-Aventis U.S. LLC
00067,GlaxoSmithKline Consumer Healthcare Holdings (US) LLC
00068,Sanofi-Aventis U.S. LLC
00069,Pfizer Laboratories Div Pfizer Inc
00071,Parke-Davis Div of Pfizer Inc
00074,AbbVie Inc.
00075,Sanofi-Aventis U.S. LLC
00076,"Star Pharmaceuticals, LLC"
00078,Novartis Pharmaceuticals Corporation
00079,ALLTECH ASSOCIATES INC
00081,Johnson & Johnson Consumer Inc.
00083,Novartis Pharmaceuticals Corporation
00085,Merck Sharp & Dohme Corp.
00087,Bristol-Myers Squibb Company
00088,Sanofi-Aventis U.S. LLC
00089,Kindeva Drug Delivery L.P.
00091,"UCB, Inc."
00093,"Teva Pharmaceuticals USA, Inc."
00095,"Bausch Health US, LLC"
00096,Person and Covey
00110,"Lilly del Caribe, Inc."
00113,L. Perrigo Company
00115,Amneal Pharmaceuticals of New York LLC
00116,"Xttrium Laboratories, Inc."
00121,"Pharmaceutical Associates, Inc."
00126,"Colgate Oral Pharmaceuticals, Inc."
00131,"UCB, Inc."
00132,"C.B. Fleet Company, Inc."
00135,GlaxoSmithKline Consumer Healthcare Holdings (US) LLC
00140,Roche Laboratories Inc.
00143,Hikma Pharmaceuticals USA Inc.
00145,Stiefel Laboratories Inc
00149,Warner Chilcott Pharmaceuticals Inc.
00155,Weleda SA
00159,"Trividia Manufacturing Solutions, Inc"
00164,Weleda AG
00168,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.
00169,Novo Nordisk
00172,"Teva Pharmaceuticals USA, Inc."
00173,GlaxoSmithKline LLC
00178,Mission Pharmacal Company
00179,KAISER FOUNDATION HOSPITALS
00182,"Teva Pharmaceuticals Development, Inc."
00185,"Eon Labs, Inc."
00186,AstraZeneca Pharmaceuticals LP
00187,"Bausch Health US, LLC"
00201,Weleda AG
00206,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc."
00216,The United States Pharmacopeial Convention
00219,"Humphreys Pharmacal, Incorporated"
00220,Boiron
00224,"Konsyl Pharmaceuticals, Inc."
00225,BF ASCHER AND CO INC
00228,"Actavis Pharma, Inc."
00234,"Molnlycke Health Care US, LLC"
00245,"Upsher-Smith Laboratories, LLC"
00254,Par Pharmaceutical Inc.
00256,"Fleming & Company, Pharmaceuticals"
00258,"Forest Laboratories, Inc."
00259,"Merz Pharmaceuticals, LLC"
00264,B. Braun Medical Inc.
00268,"ALK-Abello, Inc."
00270,BRACCO DIAGNOSTICS INC.
00273,"Young Dental Manufacturing CO I, LLC"
00276,"Misemer Pharmaceutical, Inc."
00277,"Laser, LLC d/b/a Laser Pharmaceuticals, LLC"
00280,Bayer HealthCare LLC.
00281,Savage Laboratories a division of Fougera Pharmaceuticals Inc.
00283,"Beutlich Pharmaceuticals, LLC"
00288,Fluoritab Corporation
00295,"Denison Pharmaceuticals, LLC"
00298,"Vortech Pharmaceuticals, Ltd."
00299,"Galderma Laboratories, L.P."
00300,TAP Pharmaceutical Products Inc.
00310,AstraZeneca Pharmaceuticals LP
00311,"Almay, Inc."
00316,Crown Laboratories
00322,"Merrick Medicine Company, Inc"
00327,UNITED-GUARDIAN INC
00338,Baxter Healthcare Corporation
00339,CAREMARK LLC
00360,STANDARD HOMEOPATHIC COMPANY
00362,"Septodont, Inc."
00363,Walgreen Company
00372,"SCOT-TUSSIN Pharmacal Co., Inc."
00374,"Lyne Laboratories, Inc."
00378,Mylan Pharmaceuticals Inc.
00389,The Torrance Company
00395,"Humco Holding Group, Inc."
00404,Henry Schein Inc.
00406,SpecGx LLC
00407,GE Healthcare Inc.
00408,Standard Homeopathic Company dba Homeopathic Laboratories Pa and Treatment Options
00409,"Hospira, Inc."
00414,Suppositoria Labs Perrigo Pharmaceuticals Company
00420,Novo Nordisk A/S
00430,"Allergan, Inc."
00436,"Century Pharmaceuticals, Inc."
00440,"Liberty Pharmaceuticals, Inc."
00441,Sigma-Aldrich Corporation
00456,"Allergan, Inc."
00462,PharmaDerm a division of Fougera Pharmaceuticals Inc.
00463,"C.O. Truxton, Inc."
00469,"Astellas Pharma US, Inc."
00472,"Actavis Pharma, Inc."
00480,"Teva Pharmaceuticals, Inc."
00482,Fougera Pharmaceuticals Inc.
00485,"EDWARDS PHARMACEUTICALS, INC."
00486,Beach Pharmaceuticals
00487,"Nephron SC, Inc."
00492,"Libby Laboratories, Inc."
00496,"Ferndale Laboratories, Inc."
00498,"Honeywell Safety Products USA, Inc"
00517,"American Regent, Inc."
00519,STERIS Corporation
00525,"Alfasigma USA, Inc"
00527,"Lannett Company, Inc."
00535,"Forest Laboratories, Inc."
00536,Rugby Laboratories
00548,"Amphastar Pharmaceuticals, Inc."
00555,"Teva Pharmaceuticals USA, Inc."
00562,Kedrion Biopharma Inc
00573,GlaxoSmithKline Consumer Healthcare Holdings (US) LLC
00574,Padagis US LLC
00575,"Teva Pharmaceuticals USA, Inc."
00590,"Bristol-Myers Squibb Holding Pharma, Ltd. Liability Company"
00591,"Actavis Pharma, Inc."
00597,"Boehringer Ingelheim Pharmaceuticals, Inc."
00603,"Par Pharmaceutical, Inc."
00613,WALKER LABORATORIES
00615,Vangard Labs
00616,DESMET CORPORATION
00617,WALKER PHARMACEUTICAL CO.
00618,LUYTIES PHARM. CO.
00619,WALKER PHARMACAL CO.
00621,"WISE'S KC HOMEOPATHIC PHARMACY, INC."
00622,PHARMACAL SPEC. MFG. CO.
00623,"ALLAN PHARMACEUTICAL COMPANY, INC."
00624,BUSH LABORATORIES
00625,"BOTANICAL CHEMICAL, INC."
00626,SAINT LOUIS PHYSICIAN SUPPLY
00627,KEOKUK MEDICINE COMPANY
00628,NATIONAL HOSPITAL SUPPLY COMPANY
00629,HALITOSIN COMPANY
00631,DONNA LO LABORATORIES
00632,KOLLESOL COMPANY
00633,INLAND ALKALOID COMPANY
00634,"NU AGE LABORATORIES, INC."
00635,NU ERA LABORATORIES
00636,NATURES BEST VITAMINS
00641,Hikma Pharmaceuticals USA Inc.
00642,"Exeltis USA, Inc."
00677,"United Research Laboratories, Inc."
00682,"Marnel Pharmaceuticals, LLC"
00694,Wyeth Pharmaceuticals Company
00696,Boiron Inc.
00699,"Dentsply LLC. Professional Division Trading as ""Sultan Healthcare"""
00703,"Teva Parenteral Medicines, Inc."
00713,"Cosette Pharmaceuticals, Inc."
00722,"Nexgen Pharma, Inc."
00761,"Basic Drugs, Inc"
00777,Dista Products Company
00781,Sandoz Inc
00785,"Forest Laboratories, Inc."
00792,"Siegfried (USA), Inc."
00799,Calmoseptine Inc.
00802,"Humco Holding Group, Inc."
00813,"Pharmics, Inc."
00832,"Upsher-Smith Laboratories, LLC"
00859,Bayer HealthCare LLC Animal Health
00869,Vi-Jon
00884,"Pedinol Pharmacal, Inc."
00904,Major Pharmaceuticals
00911,Diotech Deuterium Depletion Biotechnololgy Company Ltd.
00924,ACME United
00927,"Pfeiffer Pharmaceuticals, Inc."
00941,Baxter Healthcare Corporation
00942,"Fenwal, Inc."
00944,Baxalta US Inc.
00952,Bristol-Myers Squibb Company
00955,Winthrop U.S.
00986,Elanco Animal Health Co
00988,"Shanghai Shengxian Chemical Co., Ltd."
00990,ICU Medical Inc.
00998,"Alcon Laboratories, Inc."
01149,"Pharmtech International, Div of Dynamite Marketing Inc"
01161,Miers Laboratories
01234,Reed Technology and Information Services Inc.
01500,"Midwest Microlab, LLC"
01907,Don CIccio & Figli 059273498
03215,Aveva Drug Delivery Systems
04145,"Allied Healthcare Products, Inc."
04179,"Yantai Dongren Jieao Biotechnology Co., Ltd"
04321,Clariant Corp.
04328,HEPRO.US
05128,Stepan Company
05133,Neighborcare
05410,"EP Evans Drug, Inc. dba Physician's Medical Homecare"
05446,Edge Pharmacy Services LLC
05575,Ecumed Inc dba Aronson Medical
05597,"Xela Pack, Inc."
05875,"Dead of Night Distillery, Inc."
05913,AB Science
06484,Hudson Cosmetics Manufacturing Corp. DBA Paramount Cosmetics
06889,Linde Eckstein GmbH + Co. KG
07040,Sannii Maxx
07237,"CANA Co.,Ltd."
07510,Synthex Organics
07563,Striped Pig Distillery
07592,Rally Labs LLC
07723,Shmidt Spirits LLC
07790,KIMJEN LLC
07953,Vape Craft LLC.
07990,Guangzhou Zhoufen Cosmetics
08074,Abbott Laboratories
08149,"Medicia Holdings, LLC"
08234,HW&B Enterprises LLC
08290,Becton Dickinson and Company
08326,Boca Med LLC dba Boca Medical Products
08373,"Respironics, Inc"
08484,Prodigy Diabetes Care LLC
08489,HTLStrefa S.A.
08551,"Ubimed, Inc."
08560,Valeritas
08564,Summit Medical Inc.
08593,Zenith Diagnostics
08880,COVIDIEN LP
09035,PETRA OIL COMPANY
09515,MEFALSA MEDICAMENTOS Y FARMACOS DE LEON
10000,JMSP USA LLC
10002,A&S PHARMACEUTICAL CORPORATION
10006,Acetylene Oxygen Company
10014,Aero All Gas Company
10018,"Air Products and Chemicals, Inc."
10019,Baxter Healthcare Corporation
10022,Saraca Laboratories Limited
10025,Penn Labs
10028,ULTRACEUTICALS PTY LIMITED
10031,"Elba, Inc."
10037,Nutri-Vet LLC
10038,Organics Corporation of America dba Ambix Laboratories
10056,Access Business Group LLC
10066,"Medical Components, Inc."
10073,ozarc gas equipment supply inc
10078,Kay's Designs International Limited
10079,HOMELIKE INC
10094,Aquestive Therapeutics
10095,World Perfumes Inc
10096,The Avon Company
10100,Canus Vermont LLC
10106,"Avantor Performance Materials, LLC"
10107,Balassa Laboratories Inc.
10109,ACS Medical LLC
10116,"Bartor Pharmacal Co., Inc."
10117,BASF Corporation
10119,Bausch & Lomb Incorporated
10122,"Chiesi USA, Inc."
10129,Gingi-Pak a division of Belport
10130,Ben Venue Laboratories Inc.
10135,Marlex Pharmaceuticals Inc
10139,GeneraMedix Inc.
10144,"Acorda Therapeutics, Inc."
10147,"Patriot Pharmaceuticals, LLC"
10148,"CoTherix, Inc."
10149,"Provident Pharmaceuticals, LLC"
10157,Blistex Inc
10158,GlaxoSmithKline Consumer Healthcare Holdings (US) LLC
10163,Quality Home Medical Inc.
10167,"Air Source Industries, Inc"
10184,"Metrics, Inc."
10188,Ansell Healthcare Products L.L.C.
10189,Butler Gas Products Company
10191,"Ethical Nutritional, LLC"
10202,7-11
10208,Ceres Heilmittel AG
10210,"Carma Labs, Inc."
10216,Dentsply Caulk
10218,"CEE-KAY SUPPLY, INC."
10221,Central McGowan Inc.
10223,"Cetylite Industries, Inc."
10228,Chase Products Co.
10237,"Church & Dwight Co., Inc."
10239,Central Glass Germany GmbH
10249,Airsea (Taizhou) Pharmaceutical Ltd.
10252,"Coastal Welding Supply, Inc."
10258,COLONIAL DAMES CO LTD
10261,"Fujimoto Chemicals Co., Ltd."
10267,Contract Pharmacal Corp.
10271,United Biomedical Inc. (Asia)
10276,Cosmaceutical Research Lab Inc.
10279,Korres S.A. - Natural Products
10295,MF Productions Saumur
10297,"A-OX Welding Supply Co., Inc."
10304,Delille Oxygen Company
10337,PharmaDerm a division of Fougera Pharmaceuticals Inc.
10345,LABORATOIRES M&L
10348,Smashbox Beauty Cosmetics Inc.
10356,Beiersdorf Inc
10357,NOVACYL SAS
10358,"AIRSENSE, INC"
10361,"E-Z-EM, INC."
10363,"Matheson Tri-Gas, Inc. dba ETOX"
10370,"Par Pharmaceuticals, Inc."
10380,SC Johnson Professional CA Inc
10402,Antibi�ticos do Brasil Ltda.
10407,"Xiangfan Goto Chemical Co., Ltd."
10412,Flint Welding Supply Company
10418,"Forest Laboratories, Inc."
10424,Syntrion GmbH
10451,General Distributing Company
10452,Nestle Purina Petcare Company
10453,"Sunrise Medicine Supply, Inc. dba American Medical Oxygen"
10454,"Solstice Neurosciences, LLC"
10458,H and L Industrial
10477,Goodier Cosmetics LLC
10481,Gordon Laboratories
10482,R. N. Goss Gas Products Company
10486,Grandpa Brands Company
10491,Raj Pioneer Laboratories Pvt Ltd
10492,Greco Gas Inc.
10511,Photocure Inc.
10515,GC Hanford Manufacturing Company
10526,"Haun Welding Supply, Inc._DBA Haun Companies"
10530,NEXCO PHARMA
10541,HIGH CHEMICAL COMPANY
10542,Hillestad Pharmaceuticals USA
10544,"Blenheim Pharmacal, Inc."
10546,"Hobart Laboratories, Inc."
10558,Taro Pharmaceuticals Ireland Limited
10564,Bershtel Enterprises LLC
10565,Hydrox Laboratories
10572,"Affordable Pharmaceuticals, LLC"
10577,VLG CHEM PCAS
10578,Indiana Botanic Gardens
10579,"HaiYang City ZiCheng Packing Products CO.,LTD."
10586,"Core Brands, Inc."
10590,"Jackson Welding Supply Company, Inc"
10592,"Jamol Laboratories, Inc."
10596,Kao USA Inc.
10597,"Nobel Laboratories, LLC"
10599,"Intersect ENT, INC."
10609,Lumara Health Ltd
10631,"Sun Pharmaceutical Industries, Inc."
10637,"Kolmar Laboratories, Inc."
10641,Lake Welding Supply Company
10655,Benton Therapeutics
10665,"Love Life Pharmaceutical Co., Ltd."
10667,Syngen Pharmaceuticals Co Ltd
10671,Air Liquide America LP
10675,"America's Healthcare At Home, Inc."
10676,"Nanjing Hengrun Hongsu Trading Co., Ltd"
10678,"Airgas-West, Inc."
10685,Carroll Company
10690,Depke Gases & Welding Supplies
10695,Willow Birch Pharma
10698,Mabscott Supply Company
10702,"KVK-TECH, INC."
10705,"Majestic Drug Co., Inc."
10708,"Qingdao Yulong Algae Co., Ltd."
10725,Red River Welding Supply Co. dba McGinnis Welding Supply Co
10733,"Medical Products Laboratories, Inc."
10736,"Medical Technical Gases, Inc"
10738,Genuine Virgin Aloe Corporation
10742,The Mentholatum Company
10745,MICRO-MACINAZIONE SA
10755,"Island Company Lifestyle Products, LLC"
10765,ChemAgis Germany GMBH
10768,Perrigo Pharmaceuticals Company
10772,Okasa Private Limited
10775,"Modern Products, Inc."
10797,"American Regent, Inc."
10802,Rosedale Therapeutics
10809,Solumetrics Ltd.
10812,Johnson & Johnson Consumer Inc.
10815,"Liaoyuan Silver Eagle Pharmaceutical Co., Ltd."
10816,"SHELBY PROFESSIONAL, INC."
10818,Empress Hair Products LTD
10819,"Professional Disposables International, Inc."
10825,Northern Welding Supply
10827,"Yusef Manufacturing Laboratories, LLC"
10828,Smruthi Organics Limited
10829,Pfizer Italia S.r.l.
10835,Przedsiebiorstwo Farmaceutyczne Jelfa S.A.
10842,"DOCTOR HOY'S, LLC"
10849,Armand Dupree Inc.
10858,Wintac Limited
10860,"MEI LAN (THAILAND) CO.,LTD"
10864,"Airgas - West, Inc."
10866,"Pascal Company, Inc."
10867,"Mitchell Home Medical, Inc."
10873,"Penn Herb Company, Ltd."
10875,Calumet Karns City Refining LLC
10882,JAR Laboratories
10883,Aerosols Danville Inc.
10884,Bright Future Pharmaceuticals Factory
10885,Galen US Incorporated
10886,PTI Union LLC
10888,Banner Pharmacaps Inc.
10889,VVF Kansas Services LLC
10893,"Nature's Innovation, Inc."
10903,Adani Pharmachem Private Limited
10910,XI AN HUAYAO PHARM-CHEM INSTITUTE
10913,Prest-O-Sales & Service Inc
10914,"Brighton Pharmaceuticals, Inc."
10920,Arevipharma GmbH
10922,Intendis Inc
10927,"Purity Cylinder Gases, Inc."
10942,Raimy Corporation
10952,Recsei Laboratories LLC
10956,Reese Pharmaceutical Co.
10961,"W. F. Young, Inc."
10967,Revlon Consumer Products Corp
11002,"Chongqing Pharmaceutical Research Institute Co., Ltd."
11004,"Rainbow Specialty & Health Products, Inc."
11014,"Catalent Pharma Solutions, LLC"
11023,"Corp Brothers, Incorporated"
11025,"INTERNATIONAL ETHICAL LABS, INC"
11026,Seyer Pharmatec inc
11043,"S. J. Smith Co., Inc."
11045,SE Operations Pty Ltd
11054,"AIRGAS USA, LLC"
11056,South Jersey Welding Supply
11071,"Eisai Co., Ltd."
11084,"Deb USA, Inc."
11086,Summers Laboratories Incorporated
11087,"SMI Services, Inc."
11090,Beauty Manufacturing Solutions Corp.
11096,"Tarmac Products, Inc."
11099,Guest Packaging LLC.
11103,"Temple Welding Supply, Inc."
11109,"Henry Thayer Company, Inc."
11110,Alegent Health
11118,Bradford Soap Works
11150,Roundy's Inc.
11227,Adolor Corporation
11291,Dr. G. H. Tichenor's Antiseptic Company
11311,Biovet Joint Stock Company
11312,"Truett Laboratories, Inc."
11319,Ungerer and Company
11324,"Praxair, Inc. Puerto Rico B.V."
11326,University of Iowa Pharmaceuticals
11331,Valley Welders Supply
11344,Vi-Jon
11365,Medical Products Group LLC
11377,"Watkins, Inc."
11383,"Weeks & Leo Co., Inc."
11384,"Hua Chang Biopharm Co., Ltd."
11387,"Taizhou Hisound Pharmaceutical Co., Ltd."
11390,"Airgas Southwest, Inc."
11399,"GTx, Inc."
11401,"Hawaii Home Infusion Associates, Ltd"
11410,The Proactiv Company LLC
11424,"PMC Biogenix, Inc."
11429,Woodbine Products Company
11433,Shanghai Soap Co. Ltd
11444,"W. F. Young, Inc."
11446,Wong's Pharamaceutical International Limited
11489,Bcm Limited
11495,ExxonMobil Chemical Company
11506,"Firmenich, Inc."
11509,Combe Incorporated
11517,Kindeva Drug Delivery Limited
11521,Arch Chemicals Inc.
11523,Bayer HealthCare LLC
11526,Solvay USA Inc
11527,Sheffield Pharmaceuticals LLC
11528,"Centrix Pharmaceutical, Inc."
11530,The Wellcome Foundation Ltd
11532,Takeda Pharmaceutical Company LTD
11534,Sunrise Pharmaceutical Inc.
11535,The Fuller Brush Company
11536,Wellmark International
11559,Estee Lauder Inc.
11564,Fresno Oxygen and Welding Suppliers
11584,"International Ethical Laboratories, Inc."
11649,Press Chemical and Pharmaceutical Laboratories
11672,Swanson Health Products Incorporated
11673,Target Corporation
11695,"Butler Animal Health Supply, LLC dba Covetrus North America"
11697,"Aloe Vera of America, Inc."
11701,"Coloplast Manufacturing US, LLC"
11704,"Meridian Medical Technologies , Inc."
11712,DELMAR CHEMICALS INC
11715,PQ Corporation - Corporate
11716,"HANLIM PHARM. CO., LTD."
11722,Pliva Hrvatska d.o.o.
11727,Dermedics Laboratories
11735,"Biogenesis Labs, Inc."
11737,Particle Dynamics Incorporated
11748,"P and J Oxyfill, LLC"
11749,"Pnr Group, LLC"
11754,"Puranic, Inc"
11763,Perry Medical
11770,"DDP Specialty Electronic Materials US 9, LLC"
11777,Golden Life Health Products Limited
11788,AiPing Pharmaceutical Inc.
11789,"LLOYD, Inc. of Iowa"
11792,Pliva Hrvatska d.o.o.
11793,Sanofi Pasteur LTD
11797,Italfarmaco SPA
11819,DHHS/Program Support Center/Supply Service Center
11822,Rite Aid Corporation
11853,Air Liquide Large Industries U.S. LP
11856,GOYESCAS OF FLA
11868,New Genesis/Monticello Drug LLC
